G,Date,Type,Opponent,Unnamed: 4,Tm,Opp
1,2023-11-06,REG,Merrimack,W,67,55
2,2023-11-11,REG,SUNY-Plattsburgh,W,92,41
3,2023-11-16,REG,College of Charleston,W,73,64
4,2023-11-17,REG,Saint Louis,W,78,68
5,2023-11-19,REG,Liberty,L,61,71
6,2023-11-22,REG,Vermont State–Johnson,W,106,57
7,2023-11-25,REG,Bradley,L,70,79
8,2023-11-29,REG,Dartmouth,W,64,53
9,2023-12-02,REG,Yale,W,66,65
10,2023-12-06,REG,Northeastern,W,73,71
11,2023-12-09,REG,Colgate,L,71,77
12,2023-12-16,REG,Virginia Tech,L,51,73
13,2023-12-20,REG,Toledo,W,86,60
14,2023-12-22,REG,Miami (OH),L,69,70
15,2024-01-02,REG,Brown,W,71,70
16,2024-01-06,REG,Maine,W,65,58
17,2024-01-11,REG,Maryland-Baltimore County,W,77,72
18,2024-01-13,REG,NJIT,W,76,55
19,2024-01-18,REG,Binghamton,W,82,62
20,2024-01-25,REG,Massachusetts-Lowell,W,72,65
21,2024-01-27,REG,Bryant,W,67,57
22,2024-02-01,REG,Albany (NY),W,81,59
23,2024-02-03,REG,Binghamton,W,62,49
24,2024-02-08,REG,NJIT,L,61,63
25,2024-02-10,REG,Maryland-Baltimore County,W,72,70
26,2024-02-15,REG,New Hampshire,W,70,54
27,2024-02-17,REG,Maine,W,68,57
28,2024-02-22,REG,Albany (NY),W,94,80
29,2024-02-24,REG,Bryant,W,65,48
30,2024-03-02,REG,Massachusetts-Lowell,W,74,62
31,2024-03-05,REG,New Hampshire,W,68,64
32,2024-03-09,CTOURN,Albany (NY),W,75,72
33,2024-03-12,CTOURN,New Hampshire,W,66,59
34,2024-03-16,CTOURN,Massachusetts-Lowell,W,66,61
35,2024-03-22,NCAA,Duke (13),L,47,64
